,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Khatanga,50,RU,1562888040,52,71.98,102.47,52.79,10.16
276,Kodiak,1,US,1562888041,16,39.95,-94.76,86.0,8.05
277,Riyadh,0,SA,1562887973,10,24.63,46.72,86.0,8.05
278,Blythe,1,US,1562888044,10,33.61,-114.59,107.6,17.22
279,Port Elizabeth,75,US,1562888045,88,39.31,-74.98,81.0,6.93
280,Dauphin,1,CA,1562888046,61,51.15,-100.04,80.6,12.75
281,Mercedes,100,UY,1562888047,95,-33.25,-58.03,60.71,3.29
282,Fengcheng,81,CN,1562888048,85,40.45,124.07,69.89,2.89
283,Verkhoyansk,75,RU,1562888050,40,67.55,133.39,75.65,5.06
284,Itarema,9,BR,1562887825,83,-2.92,-39.92,74.75,5.82
285,Margate,75,AU,1562888052,61,-43.03,147.26,48.2,19.46
286,Champerico,75,MX,1562888053,61,16.38,-93.6,80.6,14.99
287,Naze,100,NG,1562888054,97,5.43,7.07,72.05,3.31
288,Cumbum,100,IN,1562888056,67,15.58,79.11,79.07,10.38
289,Homer,1,US,1562887762,72,59.64,-151.54,68.0,13.87
290,Teguldet,0,RU,1562888058,62,57.31,88.17,57.65,2.33
291,Tateyama,75,JP,1562888059,83,36.66,137.31,78.01,6.93
292,Severo-Kurilsk,97,RU,1562888060,96,50.68,156.12,43.25,7.92
293,Beloha,0,MG,1562888062,86,-25.17,45.06,58.73,4.41
294,Vestmannaeyjar,100,IS,1562888063,90,63.44,-20.27,53.33,10.58
295,Alfenas,0,BR,1562888064,70,-21.43,-45.95,54.23,2.68
296,Tezu,100,IN,1562888065,98,27.93,96.16,69.17,6.2
297,Oranjemund,0,ZA,1562888066,90,-28.55,16.43,55.49,12.44
298,Lakes Entrance,28,AU,1562888068,52,-37.88,147.99,62.01,5.99
299,Bambous Virieux,20,MU,1562888023,88,-20.34,57.76,68.0,4.7
300,Sao Jose da Coroa Grande,58,BR,1562888070,94,-8.9,-35.15,69.71,1.92
301,Ancud,75,CL,1562888071,100,-41.87,-73.83,44.6,6.93
302,Lazaro Cardenas,75,MX,1562888072,19,28.39,-105.62,95.0,11.41
303,Shenkursk,38,RU,1562888074,97,62.11,42.91,37.31,3.51
304,Villefontaine,0,FR,1562888075,59,45.61,5.16,66.2,2.24
305,Gaogou,100,CN,1562888076,81,31.12,117.94,76.19,2.53
306,Hauterive,75,CA,1562888077,67,49.18,-68.27,60.01,16.11
307,Suarez,20,CO,1562888078,48,4.05,-74.83,82.4,6.93
308,Provost,27,CA,1562888079,64,52.35,-110.26,68.27,8.9
309,San Quintin,0,PH,1562888081,78,17.54,120.52,80.87,3.04
310,Narsaq,20,GL,1562888082,58,60.91,-46.05,53.6,8.05
311,Mujiayingzi,56,CN,1562888083,55,42.12,118.78,68.09,3.44
312,Bilibino,47,RU,1562888084,27,68.06,166.44,79.43,10.54
313,Faya,20,SA,1562888085,49,18.39,42.45,73.4,4.7
314,Coari,19,BR,1562888087,93,-4.09,-63.14,74.75,2.91
315,Sioux Lookout,40,CA,1562887888,41,50.1,-91.92,78.8,8.05
316,Aktau,0,KZ,1562888089,69,43.65,51.16,73.4,4.47
317,Zhuzhou,90,CN,1562888090,100,27.84,113.15,75.2,4.47
318,Acapulco,75,MX,1562888042,70,16.86,-99.88,87.8,6.93
319,Beirut,0,LB,1562887836,65,33.9,35.48,80.6,9.17
320,Prykolotne,0,UA,1562888094,94,50.16,37.35,52.43,5.3
321,Nyurba,9,RU,1562888095,52,63.29,118.35,76.55,3.42
322,Klaksvik,28,FO,1562888096,100,62.23,-6.59,50.0,10.29
323,Am Timan,100,TD,1562888097,89,11.04,20.28,72.05,3.71
324,Sabya,40,SA,1562888098,41,17.15,42.62,96.8,3.36
325,Vista Hermosa,75,MX,1562888100,70,14.92,-92.27,86.0,6.93
326,Rehoboth,0,NA,1562888101,24,-23.31,17.08,49.01,6.4
327,Iqaluit,90,CA,1562888102,81,63.75,-68.52,50.0,20.8
328,Samagaltay,100,RU,1562888103,82,50.6,95.0,54.23,8.12
329,Goulburn,98,AU,1562888104,73,-34.75,149.72,50.0,1.99
330,Sao Lourenco do Sul,99,BR,1562887831,82,-31.37,-51.98,60.71,8.86
331,Fort Nelson,75,CA,1562888107,23,58.81,-122.69,82.4,12.75
332,Aripuana,35,BR,1562888108,63,-9.17,-60.63,77.63,0.92
333,Dingle,69,PH,1562888075,83,11.0,122.67,79.97,3.31
334,Camacupa,0,AO,1562888110,33,-12.02,17.48,53.15,2.66
335,Makakilo City,75,US,1562888111,54,21.35,-158.09,91.0,16.11
336,Assiniboia,72,CA,1562888113,59,49.63,-105.99,74.21,6.8
337,Akdepe,0,TM,1562888114,47,42.05,59.39,80.6,9.17
338,Alice Springs,100,AU,1562888115,45,-23.7,133.88,48.2,3.36
339,Discovery Bay,20,JM,1562888116,52,18.46,-77.4,89.6,12.75
340,Maple Creek,72,CA,1562888117,38,49.91,-109.46,77.81,13.24
341,Bukama,15,CD,1562888119,37,-9.2,25.85,65.39,2.84
342,Mar del Plata,0,AR,1562888120,66,-46.43,-67.52,41.09,6.04
343,Camacha,40,PT,1562888121,77,33.08,-16.33,71.6,18.34
344,Hofn,98,IS,1562888122,96,64.25,-15.21,40.73,4.76
345,Pilar,90,AR,1562887937,87,-34.46,-58.91,57.2,5.82
346,Salumbar,70,IN,1562888124,74,24.14,74.05,79.97,12.66
347,Maldonado,0,UY,1562888126,87,-34.91,-54.96,57.2,9.17
348,Kampot,20,KH,1562888127,94,10.62,104.18,77.0,2.24
349,West Bay,90,CA,1562888128,73,49.34,-123.21,73.99,10.29
350,Ko Samui,20,TH,1562888090,88,9.54,99.94,80.6,6.46
351,Arman,0,RU,1562888130,50,59.7,150.17,74.93,5.57
352,Nemuro,100,JP,1562888132,85,43.32,145.57,56.03,15.7
353,Riverton,1,US,1562888049,11,43.02,-108.38,96.01,16.11
354,San Francisco del Mar,99,MX,1562888134,69,16.34,-94.51,84.83,5.99
355,Sobradinho,100,BR,1562888135,97,-29.41,-53.03,59.81,2.93
356,Bathsheba,40,BB,1562888136,74,13.22,-59.52,82.4,16.11
357,Cedar City,1,US,1562888137,12,37.68,-113.06,93.2,10.29
358,Nerchinsk,41,RU,1562888139,45,51.98,116.59,75.83,4.59
359,Moanda,29,CD,1562888140,86,-5.93,12.38,73.49,12.46
360,Cassilandia,0,BR,1562888141,44,-19.11,-51.73,63.05,5.1
361,Zyryanka,83,RU,1562888142,57,65.73,150.89,77.09,20.04
362,Turukhansk,94,RU,1562888143,63,65.8,87.96,60.53,14.09
363,Gat,64,SN,1562888144,78,14.69,-16.54,75.2,6.93
364,Pangnirtung,90,CA,1562888146,40,66.15,-65.72,69.8,13.87
365,Begun,92,IN,1562888147,75,24.99,75.01,79.07,18.99
366,San Cristobal,46,HN,1562888148,68,14.68,-86.92,73.67,9.69
367,Mount Isa,87,AU,1562888149,26,-20.73,139.49,62.6,6.93
368,Coahuayana,96,MX,1562888151,82,18.62,-100.35,81.95,2.24
369,Solnechnyy,100,RU,1562888152,98,50.72,136.64,59.63,3.24
370,Avera,40,US,1562888153,55,33.19,-82.53,93.2,5.82
371,Karratha,0,AU,1562888154,25,-20.74,116.85,70.43,15.32
372,Saint Lawrence,0,MT,1562888155,83,36.06,14.2,78.01,5.82
373,Sitka,56,US,1562888157,47,37.17,-99.65,88.0,4.0
374,Tagusao,100,PH,1562888158,77,9.19,117.81,81.05,2.26
375,The Pas,90,CA,1562888159,77,53.82,-101.24,60.8,5.82
376,Rurrenabaque,40,BO,1562888160,70,-14.44,-67.53,86.0,3.06
377,Kholtoson,86,RU,1562888162,88,50.3,103.31,60.17,3.74
378,Savinka,100,RU,1562888163,95,50.08,47.1,59.99,4.65
379,Hay River,75,CA,1562888164,30,60.82,-115.79,80.6,10.29
380,Taywarah,0,AF,1562888165,29,33.35,64.42,60.17,8.1
381,Skjervoy,0,NO,1562888166,82,70.03,20.97,47.03,1.59
382,Mayumba,100,GA,1562888168,92,-3.44,10.65,72.41,7.65
383,Rokytne,18,UA,1562888169,96,51.27,27.23,51.53,6.24
384,Dehloran,0,IR,1562888155,18,32.69,47.27,79.07,7.07
385,Nieuw Amsterdam,20,SR,1562888171,83,5.88,-55.08,78.8,2.24
386,Kandrian,74,PG,1562888172,64,-6.21,149.55,78.35,14.41
387,Conceicao do Araguaia,62,BR,1562888174,54,-8.26,-49.26,76.91,2.86
388,Batagay-Alyta,100,RU,1562888175,49,67.8,130.41,67.01,4.88
389,Kuchera,2,IN,1562888176,69,26.99,73.97,81.41,20.31
390,Tazovskiy,78,RU,1562888177,92,67.47,78.7,55.13,16.89
391,Pouebo,52,NC,1562888178,55,-20.4,164.57,73.49,4.54
392,Kabalo,11,CD,1562888180,37,-6.05,26.92,68.99,2.3
393,Zhanakorgan,0,KZ,1562888065,19,43.91,67.25,81.77,11.05
394,Santa Fe,100,AR,1562888182,71,-31.62,-60.7,69.01,4.0
395,Okhotsk,39,RU,1562888183,56,59.36,143.24,69.53,3.09
396,Ponta Pora,0,BR,1562888184,52,-22.54,-55.73,69.8,5.44
397,Kolokani,19,ML,1562888185,71,13.58,-8.03,79.97,4.16
398,Phulji,0,PK,1562888187,49,26.88,67.68,92.39,13.09
399,Mapiripan,97,CO,1562888188,91,2.89,-72.13,72.59,1.5
400,Hithadhoo,21,MV,1562888189,73,-0.6,73.08,84.11,10.78
401,Inongo,100,CD,1562888190,74,-1.93,18.29,74.75,3.2
402,Ballina,100,IE,1562888191,94,54.11,-9.15,57.0,1.99
403,Sevierville,90,US,1562888193,88,35.87,-83.56,81.0,4.81
404,Acajutla,10,SV,1562888104,72,13.59,-89.83,84.29,7.36
405,Chapais,75,CA,1562888195,93,49.78,-74.86,66.2,10.29
406,Broome,89,GB,1562888196,93,52.47,1.45,64.99,5.82
407,Ambilobe,29,MG,1562888197,77,-13.19,49.05,69.89,7.25
408,Wilmington,75,US,1562888109,100,39.75,-75.55,75.0,5.82
409,Robinson,40,US,1562888200,54,39.01,-87.74,86.0,6.93
410,Butembo,98,CD,1562888201,98,0.12,29.29,59.81,1.99
411,Alofi,40,NU,1562888202,78,-19.06,-169.92,80.6,12.75
412,Lompoc,1,US,1562888102,72,34.64,-120.46,84.99,17.22
413,Gizo,0,IL,1562888205,78,31.8,34.94,78.8,5.82
414,Lacolle,90,CA,1562888206,100,45.08,-73.37,75.2,3.36
415,Saldanha,0,PT,1562888207,49,41.42,-6.55,74.57,3.11
416,Pisco,0,PE,1562888139,30,-13.71,-76.2,71.6,10.29
417,Luderitz,0,NA,1562888209,87,-26.65,15.16,55.31,15.7
418,Devarkonda,95,IN,1562888210,78,16.69,78.91,76.19,13.06
419,Kendal,20,ID,1562888212,78,-6.92,110.2,73.4,4.7
420,Lerwick,57,GB,1562888213,87,60.15,-1.15,53.6,12.75
421,Bushehr,0,IR,1562888214,55,28.97,50.84,86.0,11.52
422,Ojinaga,1,US,1562888215,28,29.56,-104.41,95.0,9.17
423,Khani,75,GE,1562888217,94,41.96,42.96,73.4,6.93
424,Buchanan,75,LR,1562888218,94,5.88,-10.05,73.4,15.82
425,Were Ilu,84,ET,1562888219,77,10.6,39.43,62.69,0.18
426,Gigant,100,RU,1562888220,96,46.5,41.34,60.53,6.53
427,Najran,40,SA,1562888221,23,17.54,44.22,86.0,7.85
428,Basco,75,US,1562888223,54,40.33,-91.2,82.99,4.7
429,Kaabong,99,UG,1562888224,91,3.51,34.14,60.89,2.73
430,Macau,15,BR,1562888225,66,-5.11,-36.64,76.73,22.21
431,Atar,63,MR,1562888070,19,20.52,-13.05,89.51,1.81
432,Bady Bassitt,0,BR,1562888228,40,-20.92,-49.45,71.6,4.76
433,Belawan,83,ID,1562888229,99,-0.59,114.46,72.23,0.58
434,Axim,100,GH,1562888230,89,4.87,-2.24,75.11,8.37
435,Rock Sound,100,BS,1562888231,77,24.9,-76.2,83.75,13.22
436,Waingapu,43,ID,1562888232,77,-9.65,120.26,72.23,13.24
437,Austin,1,US,1562888155,44,30.27,-97.74,96.01,9.17
438,Haines Junction,92,CA,1562888235,45,60.75,-137.51,66.65,11.56
439,Chicama,26,PE,1562888236,88,-7.84,-79.15,64.4,5.82
440,Puerto Madryn,0,AR,1562888237,48,-42.77,-65.04,46.85,3.31
441,Sabratah,0,LY,1562888238,83,32.79,12.49,77.99,8.14
442,Hami,100,CN,1562888239,35,42.84,93.51,75.29,11.83
443,Sept-Iles,90,CA,1562888241,71,50.2,-66.38,57.99,4.7
444,Severo-Yeniseyskiy,24,RU,1562888242,54,60.37,93.04,58.37,2.51
445,Erenhot,10,CN,1562888243,31,43.65,111.97,77.81,3.33
446,San Ramon de la Nueva Oran,97,AR,1562888244,78,-23.13,-64.33,63.95,3.62
447,Eureka,90,US,1562888246,88,40.8,-124.16,68.0,10.29
448,Zhigansk,88,RU,1562888247,38,66.77,123.37,80.69,10.78
449,Whitecourt,40,CA,1562888248,46,54.14,-115.68,69.8,10.29
450,Urucara,13,BR,1562888249,84,-2.54,-57.76,75.83,2.15
451,Hokitika,100,NZ,1562888250,89,-42.72,170.96,51.89,14.92
452,Pasinler,0,TR,1562888251,76,39.98,41.67,54.0,5.3
453,Samarai,99,PG,1562888253,71,-10.62,150.67,74.93,10.63
454,Thoen,100,TH,1562888254,90,17.61,99.22,73.13,1.86
455,Briceno,99,CO,1562888255,98,7.11,-75.55,60.17,2.86
456,Krasnoarmeysk,40,RU,1562888256,93,56.12,38.15,53.6,6.71
457,Anadyr,0,RU,1562888258,49,64.73,177.51,71.6,6.71
458,Henties Bay,0,NA,1562888259,96,-22.12,14.28,52.0,1.01
459,Havoysund,0,NO,1562888260,70,71.0,24.66,48.2,4.7
460,Turka,73,RU,1562888261,99,52.95,108.22,45.23,9.48
461,Taoudenni,29,ML,1562888259,19,22.68,-3.98,98.15,4.68
462,Barra do Garcas,0,BR,1562888263,40,-15.89,-52.26,65.75,1.25
463,Sao Joao da Barra,0,BR,1562888265,88,-21.64,-41.05,66.2,1.72
464,Quang Ngai,35,VN,1562888266,73,15.12,108.8,77.99,2.46
465,Erdenet,40,MN,1562888267,84,49.03,104.04,62.15,5.97
466,Borshchiv,16,UA,1562888268,67,48.8,26.04,57.99,8.59
467,Ingham,34,AU,1562888269,80,-18.65,146.16,70.07,2.17
468,Athabasca,41,CA,1562888271,65,54.72,-113.29,67.73,5.86
469,Uvat,38,RU,1562888272,90,59.14,68.9,60.71,4.14
470,Tondano,40,ID,1562888273,69,1.3,124.91,80.6,8.05
471,Lucea,20,JM,1562888274,52,18.44,-78.17,89.6,12.75
472,Tomatlan,76,MX,1562888276,70,19.93,-105.25,83.93,7.74
473,Gazojak,0,TM,1562888277,23,41.19,61.4,84.47,10.87
474,Qinhuangdao,24,CN,1562888278,56,39.94,119.59,78.35,6.33
475,Betafo,0,MG,1562888279,82,-19.84,46.86,51.35,5.21
476,Middelburg,81,NL,1562888280,77,51.5,3.61,66.2,10.29
477,Vargem Alta,0,BR,1562888268,85,-20.67,-41.01,55.31,2.17
478,Saint-Pierre,0,FR,1562888283,72,48.95,4.24,68.0,5.82
479,Whitehorse,75,CA,1562887996,36,60.72,-135.06,77.0,9.17
480,Boddam,75,GB,1562888285,93,57.47,-1.78,59.0,4.7
481,Barentu,100,ER,1562888286,67,15.11,37.59,72.05,9.62
482,Madimba,75,CM,1562888287,100,4.42,9.93,75.2,2.24
483,Sao Filipe,6,CV,1562888288,86,14.9,-24.5,72.05,17.94
484,Valencia,0,ES,1562888290,69,39.47,-0.38,79.0,5.82
485,Braganca,56,BR,1562888291,97,-1.05,-46.77,72.77,2.75
486,Vao,37,EE,1562888292,79,59.1,26.19,45.41,3.04
487,Yakeshi,25,CN,1562888293,71,49.28,120.73,68.99,2.55
488,Liverpool,75,GB,1562888125,93,53.41,-2.98,61.0,3.36
489,Grand Island,1,US,1562888296,54,40.92,-98.34,84.99,10.29
490,Aklavik,75,CA,1562888297,57,68.22,-135.01,51.8,13.87
491,Almaznyy,20,RU,1562888298,82,48.03,40.04,62.6,4.47
492,Touros,40,BR,1562888116,88,-5.2,-35.46,75.2,3.36
493,Dunedin,97,NZ,1562888300,86,-45.87,170.5,48.0,21.99
494,Chakia,100,IN,1562888301,93,26.42,85.05,77.81,17.81
495,Antalaha,15,MG,1562888303,98,-14.9,50.28,61.79,3.69
496,Ust-Omchug,14,RU,1562888304,36,61.13,149.63,73.85,0.87
497,Nouakchott,0,MR,1562888305,83,18.08,-15.98,75.2,11.41
498,Muros,75,ES,1562888306,100,42.77,-9.06,69.8,2.24
499,Perelyub,100,RU,1562888307,96,51.87,50.37,60.89,1.34
500,Mundwa,2,IN,1562888309,69,27.06,73.82,81.41,20.31
501,Mana,86,NG,1562888310,64,13.03,5.27,81.59,20.24
502,Vanimo,64,PG,1562888311,75,-2.67,141.3,80.15,3.04
503,Sinnamary,0,GF,1562888312,81,5.38,-52.96,81.23,15.9
504,Bay Roberts,90,CA,1562888223,100,47.58,-53.28,48.0,9.17
505,Luchenza,63,MW,1562888315,91,-16.01,35.31,52.43,5.86
506,Adamas,36,GR,1562888316,60,36.73,24.43,74.75,10.63
507,Bahia Blanca,89,AR,1562888164,86,-38.72,-62.27,47.75,2.33
508,Inhambane,0,MZ,1562888318,90,-23.87,35.38,58.73,3.47
509,Gwadar,100,PK,1562888319,77,25.12,62.33,84.29,3.18
510,Omboue,100,GA,1562888177,90,-1.57,9.26,73.31,7.43
511,Binzhou,0,CN,1562888322,71,37.38,117.96,80.01,1.01
512,Emmett,1,US,1562888323,23,43.87,-116.5,98.01,8.05
513,Pelotas,100,BR,1562888324,84,-31.77,-52.34,58.19,5.53
514,Shakiso,88,ET,1562888325,99,5.77,38.9,52.97,0.43
515,Kodinsk,12,RU,1562888326,56,58.6,99.18,61.79,3.06
516,Lamu,0,CN,1562888327,74,35.77,102.37,49.91,0.18
517,Wuwei,66,CN,1562888329,38,37.93,102.64,70.79,4.52
518,Bangassou,100,CF,1562888330,98,4.74,22.82,68.09,0.94
519,Isangel,75,VU,1562888331,74,-19.55,169.27,78.8,3.36
520,Westport,90,US,1562888332,94,41.14,-73.36,77.0,6.93
521,Juba,75,EE,1562888334,81,57.82,26.93,50.0,3.36
522,Borovoy,2,RU,1562888335,95,63.23,52.89,40.01,2.71
523,Ningxiang,90,CN,1562888336,100,28.28,112.55,75.2,4.47
524,Saldus,18,LV,1562888337,98,56.67,22.49,48.47,1.77
525,Yibin,100,CN,1562888338,97,28.77,104.64,69.35,4.54
526,Grinnell,1,US,1562888186,54,41.74,-92.72,82.99,5.82
527,Liuli,14,TZ,1562888341,64,-11.1,34.65,72.23,10.71
528,Maceio,75,BR,1562888297,88,-9.67,-35.74,73.4,2.24
529,San Jose,90,HN,1562888217,69,14.25,-87.96,77.0,6.93
530,Sturgis,76,CA,1562888344,82,51.94,-102.54,67.19,12.66
531,Krasnyy Luch,75,RU,1562888345,87,55.97,38.97,53.6,4.47
532,Udachnyy,90,RU,1562888346,93,66.42,112.4,59.0,4.47
533,Russell,1,US,1562888348,35,38.9,-98.86,91.0,8.55
534,Yiyang,100,CN,1562888349,98,28.59,112.35,71.87,4.21
535,Poboru,3,RO,1562888350,67,44.66,24.5,59.0,4.7
536,Natal,40,BR,1562888351,83,-5.81,-35.21,75.2,4.7
537,Sundsvall,97,SE,1562888353,81,62.39,17.31,55.0,3.36
538,Belaya Gora,100,RU,1562888354,64,68.54,146.19,69.35,12.33
539,Prokopion,20,GR,1562888355,77,38.73,23.48,69.01,1.61
540,Lavrentiya,7,RU,1562888356,33,65.58,-170.99,73.67,8.7
541,Sakassou,0,CI,1562888358,94,7.45,-5.29,75.2,4.7
542,San Ramon,75,NI,1562888359,94,12.92,-85.84,69.8,6.93
543,Antsohihy,3,MG,1562888360,73,-14.88,47.99,73.31,13.65
544,Miajadas,0,ES,1562888361,30,39.15,-5.91,76.37,9.01
545,Baruun-Urt,55,MN,1562888362,40,46.68,113.28,73.49,2.89
546,Yashalta,98,RU,1562888364,95,46.34,42.27,61.61,7.65
547,Mende,24,FR,1562888365,81,44.52,3.5,55.13,3.02
548,Auki,88,NG,1562888366,80,12.18,6.51,74.03,15.26
549,Port Shepstone,0,ZA,1562888367,18,-30.74,30.45,62.87,5.19
550,Zambezi,0,ZM,1562888368,43,-13.55,23.12,52.25,3.78
